,Date,region,type,4046,4225,4770,year,TotalVolume,Price,Prop
14769,2017-06-18,Albany,organic,366.52,266.88,0.0,2017,3185.1,2.03,0.031766995357476735
14770,2017-06-11,Albany,organic,21.33,248.87,0.0,2017,2719.24,2.04,0.02872380992621626
14771,2017-06-04,Albany,organic,54.47,352.85,0.0,2017,3771.39,1.63,0.04255958063681775
14772,2017-05-28,Albany,organic,11.93,344.88,0.0,2017,3365.45,1.87,0.026873173028275854
14773,2017-05-21,Albany,organic,20.33,385.05,0.0,2017,3184.37,1.84,0.030784343030756944
14774,2017-05-14,Albany,organic,44.12,450.74,0.0,2017,4270.28,1.57,0.04227123185834225
14775,2017-05-07,Albany,organic,89.53,315.14,0.0,2017,2897.23,1.79,0.02227088236811159
14776,2017-04-30,Albany,organic,388.81,280.28,0.0,2017,3046.63,1.74,0.02380681490520431
14777,2017-04-23,Albany,organic,110.25,182.56,0.0,2017,2087.6,1.92,0.0228365897388495
14778,2017-04-16,Albany,organic,265.82,203.84,0.0,2017,2886.48,1.85,0.030913257750885048
14779,2017-04-09,Albany,organic,159.65,189.67,0.0,2017,2209.82,1.92,0.020528597783492697
14780,2017-04-02,Albany,organic,885.46,362.37,0.0,2017,3492.87,1.86,0.03634091523418337
14781,2017-03-26,Albany,organic,166.49,263.32,0.0,2017,2250.22,2.02,0.017972734752284447
14782,2017-03-19,Albany,organic,503.14,175.98,0.0,2017,2763.38,1.87,0.028924410069753437
14783,2017-03-12,Albany,organic,123.51,206.64,0.0,2017,2001.95,1.97,0.020487592314156866
14784,2017-03-05,Albany,organic,241.0,208.79,0.0,2017,2228.14,1.84,0.020333011535886403
14785,2017-02-26,Albany,organic,508.31,240.1,0.0,2017,2185.96,1.71,0.02413903721466204
14786,2017-02-19,Albany,organic,1049.5,141.41,0.0,2017,2523.56,1.67,0.025750972232979175
14787,2017-02-12,Albany,organic,119.52,170.57,0.0,2017,1806.4,1.78,0.018242348140833586
14788,2017-02-05,Albany,organic,26.75,223.33,0.0,2017,1753.35,1.72,0.009462099336743801
14789,2017-01-29,Albany,organic,32.53,123.14,0.0,2017,1795.81,1.86,0.01847153478076613
14790,2017-01-22,Albany,organic,78.83,128.24,0.0,2017,1897.07,1.82,0.01452843934707615
14791,2017-01-15,Albany,organic,82.3,328.02,0.0,2017,1982.65,1.84,0.02190557813589833
14792,2017-01-08,Albany,organic,63.46,478.31,0.0,2017,2229.52,1.94,0.023728975911500694
14793,2017-01-01,Albany,organic,71.65,192.63,0.0,2017,1376.7,1.87,0.010483158072119303
14794,2017-12-31,Atlanta,organic,331.16,3474.3,0.0,2017,17217.91,1.28,0.025830591062760866
14795,2017-12-24,Atlanta,organic,443.44,4328.48,0.0,2017,15311.1,1.59,0.0332782741714136
14796,2017-12-17,Atlanta,organic,343.83,3504.07,0.0,2017,11548.46,1.59,0.023289050474384676
14797,2017-12-10,Atlanta,organic,332.1,3555.77,0.0,2017,13300.51,1.63,0.02388227216705663
14798,2017-12-03,Atlanta,organic,380.9,3883.18,0.0,2017,10609.29,1.62,0.02057889373149191
14799,2017-11-26,Atlanta,organic,344.14,3863.03,0.0,2017,11834.89,1.66,0.027909324109595346
14800,2017-11-19,Atlanta,organic,186.36,4241.25,0.0,2017,10393.69,1.62,0.022393018064965298
14801,2017-11-12,Atlanta,organic,199.47,4259.52,0.0,2017,12115.78,1.8,0.02284596243079573
14802,2017-11-05,Atlanta,organic,447.38,3686.33,0.0,2017,11588.38,1.86,0.02000890667584221
14803,2017-10-29,Atlanta,organic,319.28,3788.49,0.0,2017,15731.26,2.04,0.030866648002964236
14804,2017-10-22,Atlanta,organic,390.46,4323.24,0.0,2017,14351.98,2.06,0.0341420407457943
14805,2017-10-15,Atlanta,organic,344.76,4738.94,0.0,2017,11405.18,2.23,0.0273167181328986
14806,2017-10-08,Atlanta,organic,371.26,4535.92,0.0,2017,12275.61,2.55,0.02896584335790764
14807,2017-10-01,Atlanta,organic,543.85,4724.38,0.0,2017,13557.58,2.75,0.03118170955534194
14808,2017-09-24,Atlanta,organic,507.34,5068.56,0.0,2017,18912.3,2.56,0.04474243027553371
14809,2017-09-17,Atlanta,organic,521.38,5064.08,0.0,2017,17292.22,2.54,0.042152764922442354
14810,2017-09-10,Atlanta,organic,599.45,5931.44,0.0,2017,13955.66,2.59,0.029017194894986664
14811,2017-09-03,Atlanta,organic,538.17,5588.7,0.0,2017,17990.83,2.59,0.039851573802053064
14812,2017-08-27,Atlanta,organic,639.25,6918.13,0.0,2017,13910.32,2.59,0.029474361539839178
14813,2017-08-20,Atlanta,organic,587.96,6921.22,0.0,2017,17338.42,2.18,0.03515067460879395
14814,2017-08-13,Atlanta,organic,516.53,5399.86,0.0,2017,14533.65,2.14,0.026492622436313673
14815,2017-08-06,Atlanta,organic,451.86,5641.82,0.0,2017,13998.62,1.97,0.02630632469207539
14816,2017-07-30,Atlanta,organic,431.93,6137.14,0.0,2017,15501.08,1.78,0.03179614992682167
14817,2017-07-23,Atlanta,organic,609.88,7547.2,0.0,2017,17588.07,1.85,0.032797007063113504
14818,2017-07-16,Atlanta,organic,471.9,7657.36,0.0,2017,14396.43,1.89,0.024136249113925645
14819,2017-07-09,Atlanta,organic,564.97,10263.73,0.0,2017,22122.61,1.61,0.0417833208309798
14820,2017-07-02,Atlanta,organic,674.17,9001.27,0.0,2017,23108.17,1.53,0.041907719365792295
14821,2017-06-25,Atlanta,organic,607.94,7832.9,0.0,2017,30581.47,1.31,0.057499572111310404
14822,2017-06-18,Atlanta,organic,852.47,9300.22,0.0,2017,23485.92,1.49,0.04548693272720028
14823,2017-06-11,Atlanta,organic,1251.33,6518.33,0.0,2017,33969.35,1.06,0.05598039801522703
14824,2017-06-04,Atlanta,organic,1464.32,5926.88,0.0,2017,20445.39,1.44,0.02798882773567235
14825,2017-05-28,Atlanta,organic,1301.7,6521.28,0.0,2017,19501.92,1.59,0.03588238602764848
14826,2017-05-21,Atlanta,organic,1307.02,7474.67,0.0,2017,21857.76,1.38,0.0398356910059251
14827,2017-05-14,Atlanta,organic,988.48,7007.8,0.0,2017,15466.97,1.46,0.026466828462517022
14828,2017-05-07,Atlanta,organic,338.98,7980.14,0.0,2017,18229.58,1.37,0.024470672592401765
14829,2017-04-30,Atlanta,organic,1487.72,7556.77,0.0,2017,15041.91,1.59,0.024635375185562802
14830,2017-04-23,Atlanta,organic,1704.94,7073.78,0.0,2017,13269.05,1.63,0.024423076700080704
14831,2017-04-16,Atlanta,organic,1593.09,7034.18,0.0,2017,16411.1,1.27,0.02932445627239344
14832,2017-04-09,Atlanta,organic,1358.59,5782.33,0.0,2017,24438.67,0.91,0.04989633594573106
14833,2017-04-02,Atlanta,organic,1252.51,6359.96,0.0,2017,16943.34,1.26,0.033962955363674
14834,2017-03-26,Atlanta,organic,1653.21,5804.09,0.0,2017,16209.23,1.27,0.03525859788362662
14835,2017-03-19,Atlanta,organic,1756.42,4656.72,0.0,2017,11754.42,1.23,0.02486417472683966
14836,2017-03-12,Atlanta,organic,2140.74,4782.95,0.0,2017,18563.32,0.9,0.03805196797007293
14837,2017-03-05,Atlanta,organic,2078.48,4175.17,0.0,2017,32292.39,0.62,0.059398680056309994
14838,2017-02-26,Atlanta,organic,1111.31,3495.28,0.0,2017,24322.77,0.64,0.0370869737173265
14839,2017-02-19,Atlanta,organic,1388.4,3401.6,0.0,2017,11866.71,1.06,0.02064187376783022
14840,2017-02-12,Atlanta,organic,1085.35,4061.87,0.0,2017,11072.75,1.07,0.016332843277970244
14841,2017-02-05,Atlanta,organic,1418.26,4208.97,0.0,2017,9685.15,1.28,0.010787887660943962
14842,2017-01-29,Atlanta,organic,1102.57,4181.73,0.0,2017,7330.86,1.53,0.011544176925488037
14843,2017-01-22,Atlanta,organic,1121.56,4738.82,0.0,2017,7484.99,1.62,0.009810499432025721
14844,2017-01-15,Atlanta,organic,1129.49,3582.5,0.0,2017,6291.29,1.62,0.011161317674477589
14845,2017-01-08,Atlanta,organic,1456.0,5316.57,0.0,2017,8244.17,1.74,0.013519679123822237
14846,2017-01-01,Atlanta,organic,956.73,2862.95,0.0,2017,5342.85,1.81,0.009663168096477603
14847,2017-12-31,BaltimoreWashington,organic,1177.45,7959.34,122.36,2017,40942.37,1.53,0.04598044816527347
14848,2017-12-24,BaltimoreWashington,organic,919.11,5886.28,89.47,2017,35540.32,1.56,0.05386455777353738
14849,2017-12-17,BaltimoreWashington,organic,1256.76,7053.3,50.28,2017,34581.64,1.58,0.05213442427307102
14850,2017-12-10,BaltimoreWashington,organic,1979.76,6934.12,73.99,2017,41451.11,1.51,0.042197927228166954
14851,2017-12-03,BaltimoreWashington,organic,1415.83,7869.09,76.35,2017,38753.69,1.58,0.05554550098554123
14852,2017-11-26,BaltimoreWashington,organic,882.64,6845.96,64.4,2017,31688.93,1.69,0.04791132455880909
14853,2017-11-19,BaltimoreWashington,organic,839.81,7176.02,74.84,2017,28942.29,1.8,0.04296133419211601
14854,2017-11-12,BaltimoreWashington,organic,823.07,7144.26,105.89,2017,33641.31,1.81,0.048591135112168615
14855,2017-11-05,BaltimoreWashington,organic,1134.54,8053.87,75.7,2017,35881.7,1.84,0.04645783736039688
14856,2017-10-29,BaltimoreWashington,organic,986.73,9121.99,99.38,2017,37155.43,1.81,0.051648360126203774
14857,2017-10-22,BaltimoreWashington,organic,815.38,10255.4,71.21,2017,47486.93,1.64,0.06599499917629481
14858,2017-10-15,BaltimoreWashington,organic,939.94,8821.8,68.85,2017,56559.22,1.6,0.07808491509239035
14859,2017-10-08,BaltimoreWashington,organic,2811.23,6844.1,80.66,2017,67233.45,1.5,0.10094045311305067
14860,2017-10-01,BaltimoreWashington,organic,2863.92,5844.08,56.27,2017,48973.13,1.62,0.06491454288813447
14861,2017-09-24,BaltimoreWashington,organic,2666.66,6252.03,94.49,2017,62464.93,1.53,0.08453043873938337
14862,2017-09-17,BaltimoreWashington,organic,2003.4,8036.61,72.28,2017,59452.63,1.54,0.08212206799718602
14863,2017-09-10,BaltimoreWashington,organic,2319.29,8702.11,102.72,2017,63283.62,1.59,0.08748233052702259
14864,2017-09-03,BaltimoreWashington,organic,4534.0,8344.86,134.23,2017,58736.24,1.68,0.08043407271776848
14865,2017-08-27,BaltimoreWashington,organic,4097.95,8674.09,66.86,2017,41523.58,1.82,0.05973563448764507
14866,2017-08-20,BaltimoreWashington,organic,924.94,8272.68,114.95,2017,39133.75,1.75,0.05355139905942208
14867,2017-08-13,BaltimoreWashington,organic,1099.85,6739.42,161.91,2017,40536.12,1.66,0.054937631011143795
14868,2017-08-06,BaltimoreWashington,organic,1372.7,10746.78,148.14,2017,41701.43,1.65,0.05654046327965212
14869,2017-07-30,BaltimoreWashington,organic,1117.3,8371.18,115.39,2017,41846.93,1.6,0.060015118322211625
14870,2017-07-23,BaltimoreWashington,organic,763.36,8833.15,131.28,2017,50322.79,1.51,0.0677113615006848
14871,2017-07-16,BaltimoreWashington,organic,845.67,4835.57,168.13,2017,37981.09,1.57,0.053610958612370196
14872,2017-07-09,BaltimoreWashington,organic,1270.14,7508.32,197.39,2017,18665.31,2.26,0.025904799797250688
14873,2017-07-02,BaltimoreWashington,organic,1028.08,12582.81,209.44,2017,23687.44,2.2,0.03401892636183146
14874,2017-06-25,BaltimoreWashington,organic,792.09,11005.95,179.93,2017,22445.91,2.21,0.03133073758681004
14875,2017-06-18,BaltimoreWashington,organic,963.89,11778.12,141.79,2017,22845.26,2.2,0.031026417447716836
14876,2017-06-11,BaltimoreWashington,organic,1138.12,11797.51,140.2,2017,23607.15,2.17,0.030747852655746755
14877,2017-06-04,BaltimoreWashington,organic,1029.51,13920.73,217.02,2017,26345.64,2.15,0.033593190870891854
14878,2017-05-28,BaltimoreWashington,organic,1009.57,13030.82,180.99,2017,24730.84,2.18,0.030763028041942087
14879,2017-05-21,BaltimoreWashington,organic,1034.75,10982.81,206.24,2017,23209.1,2.2,0.030011168182242032
14880,2017-05-14,BaltimoreWashington,organic,1025.83,12713.64,262.83,2017,25181.71,2.11,0.033259237277739495
14881,2017-05-07,BaltimoreWashington,organic,964.17,9975.92,229.32,2017,21753.01,2.13,0.019426939919003128
14882,2017-04-30,BaltimoreWashington,organic,1412.92,11979.18,192.69,2017,25696.88,2.15,0.03262592128791186
14883,2017-04-23,BaltimoreWashington,organic,809.43,11476.21,188.34,2017,24138.64,2.14,0.031214078834084558
14884,2017-04-16,BaltimoreWashington,organic,1248.3,11853.83,398.85,2017,24454.71,1.96,0.03294029902414464
14885,2017-04-09,BaltimoreWashington,organic,854.07,10375.8,269.66,2017,19114.94,1.89,0.025238571265016718
14886,2017-04-02,BaltimoreWashington,organic,1558.12,11581.01,275.8,2017,23194.42,1.97,0.028148695723449135
14887,2017-03-26,BaltimoreWashington,organic,1316.49,9686.16,333.08,2017,20770.15,1.97,0.027323878778257038
14888,2017-03-19,BaltimoreWashington,organic,1109.47,7239.15,227.38,2017,18537.54,2.06,0.024472191577684654
14889,2017-03-12,BaltimoreWashington,organic,1146.72,6980.5,270.77,2017,17418.01,2.12,0.022296434394098008
14890,2017-03-05,BaltimoreWashington,organic,1280.17,8000.14,234.64,2017,18082.67,1.97,0.020127437286467043
14891,2017-02-26,BaltimoreWashington,organic,1273.89,7291.17,302.05,2017,16773.14,1.93,0.020180638609312074
14892,2017-02-19,BaltimoreWashington,organic,1775.21,10428.06,261.83,2017,21623.61,1.81,0.029107771353793832
14893,2017-02-12,BaltimoreWashington,organic,1309.1,7233.7,244.98,2017,18596.41,1.85,0.019696017587151893
14894,2017-02-05,BaltimoreWashington,organic,1373.51,6610.53,202.88,2017,17974.51,1.85,0.015124724147172253
14895,2017-01-29,BaltimoreWashington,organic,1050.68,7816.85,330.58,2017,17293.49,1.85,0.02164846113508423
14896,2017-01-22,BaltimoreWashington,organic,1219.26,8061.11,345.66,2017,18486.41,1.85,0.02186632399855437
14897,2017-01-15,BaltimoreWashington,organic,1359.33,8445.66,294.96,2017,20759.34,1.82,0.02695072946233945
14898,2017-01-08,BaltimoreWashington,organic,1325.19,7679.48,444.8,2017,17989.43,1.85,0.017177463988583108
14899,2017-01-01,BaltimoreWashington,organic,1420.47,6298.07,325.44,2017,13901.46,1.92,0.021530544134164664
14900,2017-12-31,Boise,organic,78.28,646.17,0.0,2017,2017.17,1.72,0.024700805028988193
14901,2017-12-24,Boise,organic,60.22,650.35,0.0,2017,3029.24,1.44,0.04091706394091554
14902,2017-12-17,Boise,organic,28.34,552.03,0.0,2017,1797.04,1.79,0.026866636506535868
14903,2017-12-10,Boise,organic,52.94,566.03,0.0,2017,2237.32,1.76,0.025501287362961644
14904,2017-12-03,Boise,organic,35.28,386.74,0.0,2017,1829.41,1.77,0.02067704461612563
14905,2017-11-26,Boise,organic,49.58,619.73,0.0,2017,2741.2,1.47,0.04773763457338798
14906,2017-11-19,Boise,organic,55.94,538.92,0.0,2017,1863.13,1.85,0.02982672092413796
14907,2017-11-12,Boise,organic,46.66,484.39,0.0,2017,1869.21,1.88,0.022333269332028394
14908,2017-11-05,Boise,organic,45.0,504.52,0.0,2017,1886.42,2.33,0.022730372728854475
14909,2017-10-29,Boise,organic,51.96,511.36,0.0,2017,1962.54,2.34,0.027844014836407416
14910,2017-10-22,Boise,organic,41.07,543.46,0.0,2017,1631.8,2.41,0.019091038209453015
14911,2017-10-15,Boise,organic,34.16,523.33,0.0,2017,1563.12,2.62,0.026215708360139645
14912,2017-10-08,Boise,organic,62.55,573.83,0.0,2017,1655.56,2.78,0.02867122064488592
14913,2017-10-01,Boise,organic,58.19,473.62,0.0,2017,1373.11,2.79,0.022894366386226217
14914,2017-09-24,Boise,organic,63.68,535.14,0.0,2017,1411.83,2.64,0.024306961580734976
14915,2017-09-17,Boise,organic,67.41,563.56,0.0,2017,1491.87,2.65,0.022323905599359373
14916,2017-09-10,Boise,organic,75.82,540.2,0.0,2017,1600.11,2.63,0.023503592424020336
14917,2017-09-03,Boise,organic,110.15,617.9,0.0,2017,1855.43,2.71,0.02802337650097997
14918,2017-08-27,Boise,organic,110.96,503.61,0.0,2017,1643.45,2.75,0.017218459924033147
14919,2017-08-20,Boise,organic,107.75,622.57,0.0,2017,1661.6,2.62,0.01852559209759075
14920,2017-08-13,Boise,organic,71.06,602.73,0.0,2017,1816.79,2.32,0.02504755725689678
14921,2017-08-06,Boise,organic,81.09,596.86,0.0,2017,2091.16,2.21,0.027587407859369084
14922,2017-07-30,Boise,organic,51.75,721.8,0.0,2017,2033.48,2.21,0.027459310262874626
14923,2017-07-23,Boise,organic,52.24,545.95,0.0,2017,2197.65,2.23,0.030112446381923008
14924,2017-07-16,Boise,organic,74.38,680.06,0.0,2017,2647.32,2.26,0.03534830832657154
14925,2017-07-09,Boise,organic,60.34,767.31,0.0,2017,3526.39,1.58,0.027270288501818007
14926,2017-07-02,Boise,organic,41.84,1111.25,0.0,2017,2765.03,1.92,0.027602404308044615
14927,2017-06-25,Boise,organic,53.4,935.18,0.0,2017,2373.02,2.09,0.024352578857870677
14928,2017-06-18,Boise,organic,48.02,744.9,0.0,2017,3263.02,1.55,0.03392993713693604
14929,2017-06-11,Boise,organic,24.54,636.65,0.0,2017,4375.53,1.27,0.045144416260545106
14930,2017-06-04,Boise,organic,72.25,651.54,0.0,2017,4579.54,1.27,0.04444437543120461
14931,2017-05-28,Boise,organic,14.44,683.93,0.0,2017,4468.0,1.22,0.04259948381019396
14932,2017-05-21,Boise,organic,15.84,659.85,0.0,2017,3897.02,1.27,0.04309436046229387
14933,2017-05-14,Boise,organic,7.94,681.17,0.0,2017,4103.97,1.27,0.04163498874203586
14934,2017-05-07,Boise,organic,11.97,634.33,0.0,2017,4483.61,1.17,0.03559356237131539
14935,2017-04-30,Boise,organic,19.93,603.23,0.0,2017,3943.0,1.22,0.034874670534750796
14936,2017-04-23,Boise,organic,11.93,570.15,0.0,2017,3316.33,1.23,0.03419869630959982
14937,2017-04-16,Boise,organic,35.67,568.06,0.0,2017,3493.39,1.23,0.03394793980000643
14938,2017-04-09,Boise,organic,17.11,526.49,0.0,2017,3514.61,1.18,0.035492868878227224
14939,2017-04-02,Boise,organic,17.05,676.67,0.0,2017,4767.59,0.82,0.04783231645804942
14940,2017-03-26,Boise,organic,9.09,541.44,0.0,2017,4448.99,0.81,0.0446051820931197
14941,2017-03-19,Boise,organic,6.42,539.13,0.0,2017,2665.45,1.25,0.029817255000314846
14942,2017-03-12,Boise,organic,7.57,483.13,0.0,2017,2918.06,1.16,0.02522218926175701
14943,2017-03-05,Boise,organic,19.04,603.63,0.0,2017,4667.26,0.72,0.04739232833346896
14944,2017-02-26,Boise,organic,21.41,393.39,0.0,2017,2949.49,1.15,0.027316909173168757
14945,2017-02-19,Boise,organic,11.28,403.6,0.0,2017,2104.05,1.65,0.019158087616666708
14946,2017-02-12,Boise,organic,20.27,426.9,0.0,2017,2375.9,1.58,0.02372072423936733
14947,2017-02-05,Boise,organic,20.03,321.73,0.0,2017,3143.96,0.95,0.022580302041237843
14948,2017-01-29,Boise,organic,15.2,452.12,0.0,2017,3212.37,1.06,0.0296494011409274
14949,2017-01-22,Boise,organic,3.0,450.57,0.0,2017,3083.38,1.06,0.0337346012537485
14950,2017-01-15,Boise,organic,0.0,457.07,0.0,2017,3071.87,1.06,0.031594402041380865
14951,2017-01-08,Boise,organic,3.0,585.08,0.0,2017,4137.35,1.04,0.038335204993069305
14952,2017-01-01,Boise,organic,0.0,368.63,0.0,2017,2823.82,1.05,0.02630873573715231
14953,2017-12-31,Boston,organic,9.19,2796.62,0.0,2017,25275.08,1.86,0.056801548736799434
14954,2017-12-24,Boston,organic,29.37,1723.76,0.0,2017,25639.14,1.83,0.05829898413568679
14955,2017-12-17,Boston,organic,12.88,1538.66,0.0,2017,24904.99,1.82,0.045977683949993575
14956,2017-12-10,Boston,organic,14.46,1541.99,0.0,2017,26314.71,1.74,0.03687772463206751
14957,2017-12-03,Boston,organic,39.81,1355.4,0.0,2017,21338.43,1.88,0.041846095327908395
14958,2017-11-26,Boston,organic,28.43,1098.3,0.0,2017,21588.38,1.81,0.048473304159150965
14959,2017-11-19,Boston,organic,3.65,1261.2,0.0,2017,26149.55,1.81,0.05205076061602487
14960,2017-11-12,Boston,organic,24.04,1429.61,0.0,2017,26148.28,1.87,0.03930651944286967
14961,2017-11-05,Boston,organic,14.81,1535.06,3.7,2017,28626.61,1.95,0.06095969763135112
14962,2017-10-29,Boston,organic,7.41,1225.55,0.0,2017,34011.21,1.83,0.06814268775532695
14963,2017-10-22,Boston,organic,16.66,1569.42,0.0,2017,34913.38,1.58,0.07425896577973623
14964,2017-10-15,Boston,organic,14.85,1420.26,0.0,2017,37877.39,1.6,0.08304417513495721
14965,2017-10-08,Boston,organic,15.95,1103.1,0.0,2017,30044.2,1.56,0.06237728066971382
14966,2017-10-01,Boston,organic,17.83,1127.52,0.0,2017,26718.67,1.61,0.05249345518236581
14967,2017-09-24,Boston,organic,51.41,952.51,0.0,2017,31132.88,1.56,0.05883535408945073
14968,2017-09-17,Boston,organic,7.65,1268.05,0.0,2017,31066.35,1.56,0.06290476923376287
14969,2017-09-10,Boston,organic,20.49,1076.33,0.0,2017,25480.22,1.74,0.04632822192728536
14970,2017-09-03,Boston,organic,26.71,866.01,0.0,2017,22577.26,1.76,0.0469929539063898
14971,2017-08-27,Boston,organic,18.23,1150.07,0.0,2017,22339.0,1.75,0.04670946370660656
14972,2017-08-20,Boston,organic,10.07,1256.79,0.0,2017,22954.83,1.72,0.04609984305854431
14973,2017-08-13,Boston,organic,9.07,1183.44,0.0,2017,18946.53,1.77,0.029449088192609163
14974,2017-08-06,Boston,organic,7.5,1198.39,0.0,2017,22037.86,1.61,0.03515951125065242
14975,2017-07-30,Boston,organic,7.0,1303.51,0.0,2017,23890.76,1.61,0.04034604354271987
14976,2017-07-23,Boston,organic,6.86,1165.51,0.0,2017,28957.04,1.59,0.040460216618142364
14977,2017-07-16,Boston,organic,18.95,1315.56,0.0,2017,25501.3,1.61,0.0411631812080514
14978,2017-07-09,Boston,organic,9.43,1693.69,0.0,2017,20152.69,2.17,0.0347355738114461
14979,2017-07-02,Boston,organic,8.01,1676.54,0.0,2017,19686.52,2.13,0.03485483184873428
14980,2017-06-25,Boston,organic,12.39,1891.69,0.0,2017,22051.39,2.13,0.03882694244582907
14981,2017-06-18,Boston,organic,16.6,1617.23,0.0,2017,23277.63,2.12,0.03850208911640218
14982,2017-06-11,Boston,organic,9.81,1490.22,0.0,2017,20437.87,2.07,0.03382930374238602
14983,2017-06-04,Boston,organic,12.27,1676.05,0.0,2017,22924.67,2.04,0.03736673899971754
14984,2017-05-28,Boston,organic,20.57,1658.97,0.0,2017,20860.14,2.04,0.03345662589273346
14985,2017-05-21,Boston,organic,19.5,1408.91,0.0,2017,22165.79,1.92,0.03727928912030998
14986,2017-05-14,Boston,organic,60.91,1839.22,0.0,2017,21115.24,1.99,0.033438565035488144
14987,2017-05-07,Boston,organic,82.39,1772.56,0.0,2017,21056.26,1.98,0.030170618645080305
14988,2017-04-30,Boston,organic,85.6,2341.26,0.0,2017,17863.55,2.02,0.028758933500954265
14989,2017-04-23,Boston,organic,138.28,1028.1,0.0,2017,17773.38,1.88,0.03300125076392557
14990,2017-04-16,Boston,organic,67.56,1173.89,0.0,2017,17641.48,2.0,0.02893510397377186
14991,2017-04-09,Boston,organic,64.98,1219.33,0.0,2017,17032.99,2.0,0.026332923170462874
14992,2017-04-02,Boston,organic,80.78,1392.51,0.0,2017,16320.74,2.0,0.027745840718146786
14993,2017-03-26,Boston,organic,182.23,1192.32,0.0,2017,17307.58,2.02,0.030457355710846956
14994,2017-03-19,Boston,organic,154.68,1066.04,0.0,2017,18134.67,2.06,0.032460132423640764
14995,2017-03-12,Boston,organic,138.51,1200.03,0.0,2017,18294.75,2.09,0.03563364042374362
14996,2017-03-05,Boston,organic,100.43,1266.07,0.0,2017,19270.33,1.72,0.030129745185522694
14997,2017-02-26,Boston,organic,13.18,1274.78,0.0,2017,14572.36,2.01,0.023743131859403355
14998,2017-02-19,Boston,organic,13.98,1014.64,0.0,2017,16177.04,2.06,0.030107888785229076
14999,2017-02-12,Boston,organic,13.45,1111.3,13.52,2017,17727.36,1.95,0.021916643845277473
15000,2017-02-05,Boston,organic,7.16,2644.02,38.21,2017,22249.09,1.63,0.028008850453775103
15001,2017-01-29,Boston,organic,8.37,1127.0,0.0,2017,15270.59,1.9,0.024654769469778737
15002,2017-01-22,Boston,organic,9.6,969.46,0.0,2017,15417.31,1.93,0.02270080892736237
15003,2017-01-15,Boston,organic,12.3,1315.1,0.0,2017,17012.28,1.88,0.02859259919340018
15004,2017-01-08,Boston,organic,8.39,1134.04,0.0,2017,17555.2,1.95,0.023472227122891653
15005,2017-01-01,Boston,organic,14.8,2181.53,0.0,2017,13438.22,2.06,0.02845460585351922
